SampleID,path,Label,Set,tissue,assay_type
EE86152,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86152.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86153,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86153.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86154,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86154.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86155,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86155.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86156,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86156.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86157,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86157.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86158,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86158.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86159,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86159.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86160,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86160.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86161,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86161.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86162,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86162.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86163,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86163.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86164,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86164.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86165,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86165.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86166,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86166.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86167,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86167.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86168,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86168.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86169,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86169.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86170,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86170.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86171,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86171.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86172,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86172.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86173,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86173.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86174,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86174.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86175,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86175.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86176,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86176.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
